,LotSizeAcres,med/housing,address/locality,education ,identifier/attomId,edusqu,median_income,address/postal1,HSper,bachper,total,2per,perc_fs,summary/yearbuilt,mastper,building/rooms/bathstotal,population,building/rooms/beds,sale/amount/saleamt
0,0.2251,201200,Medina,9,,81,76741,44256,24.3486809765689,26.251726317267853,41.8,2.309435648621042,6.650360561717202,2013,9.512885934318017,3.0,62656.0,3,205000
1,0.78,201200,Medina,9,,81,76741,44256,24.3486809765689,26.251726317267853,41.8,2.309435648621042,6.650360561717202,1860,9.512885934318017,1.0,62656.0,2,119000
2,0.1417,201200,Medina,9,,81,76741,44256,24.3486809765689,26.251726317267853,41.8,2.309435648621042,6.650360561717202,1955,9.512885934318017,1.0,62656.0,3,112000
5,0.31,201200,Medina,9,,81,76741,44256,24.3486809765689,26.251726317267853,41.8,2.309435648621042,6.650360561717202,1994,9.512885934318017,3.0,62656.0,3,222500
6,0.2397,201200,Medina,9,,81,76741,44256,24.3486809765689,26.251726317267853,41.8,2.309435648621042,6.650360561717202,1956,9.512885934318017,1.0,62656.0,3,125900
7,0.16,201200,Medina,9,,81,76741,44256,24.3486809765689,26.251726317267853,41.8,2.309435648621042,6.650360561717202,1996,9.512885934318017,1.0,62656.0,3,162500
8,0.3753,201200,Medina,9,,81,76741,44256,24.3486809765689,26.251726317267853,41.8,2.309435648621042,6.650360561717202,1984,9.512885934318017,2.0,62656.0,3,174000
12,0.2984,201200,Medina,9,,81,76741,44256,24.3486809765689,26.251726317267853,41.8,2.309435648621042,6.650360561717202,1920,9.512885934318017,1.0,62656.0,3,127500
13,0.71,201200,Medina,9,,81,76741,44256,24.3486809765689,26.251726317267853,41.8,2.309435648621042,6.650360561717202,1998,9.512885934318017,4.0,62656.0,3,445000
15,0.5845,201200,Medina,9,,81,76741,44256,24.3486809765689,26.251726317267853,41.8,2.309435648621042,6.650360561717202,1956,9.512885934318017,2.0,62656.0,3,180000
16,0.5484,201200,Medina,9,,81,76741,44256,24.3486809765689,26.251726317267853,41.8,2.309435648621042,6.650360561717202,2017,9.512885934318017,3.0,62656.0,3,424900
19,0.1607,201200,Medina,9,,81,76741,44256,24.3486809765689,26.251726317267853,41.8,2.309435648621042,6.650360561717202,1975,9.512885934318017,1.0,62656.0,3,126000
22,0.37,201200,Medina,9,,81,76741,44256,24.3486809765689,26.251726317267853,41.8,2.309435648621042,6.650360561717202,2017,9.512885934318017,4.0,62656.0,4,468100
23,0.1894,201200,Medina,9,,81,76741,44256,24.3486809765689,26.251726317267853,41.8,2.309435648621042,6.650360561717202,1922,9.512885934318017,1.0,62656.0,3,124000
24,0.27399999999999997,201200,Medina,9,,81,76741,44256,24.3486809765689,26.251726317267853,41.8,2.309435648621042,6.650360561717202,1975,9.512885934318017,2.0,62656.0,3,156000
35,0.1846,238700,Peninsula,10,,100,87639,44264,15.138282387190685,30.033964095099464,42.8,4.863945578231292,8.54853072128228,2007,8.976225133430374,3.0,2940.0,3,300000
44,0.4591,130700,Massillon,9,,81,52252,44646,32.67354421726431,16.978435150083897,43.1,6.392211044428134,13.12241214566302,1976,6.0903610714063765,3.0,46322.0,3,152700
54,0.3444,130700,Massillon,9,,81,52252,44646,32.67354421726431,16.978435150083897,43.1,6.392211044428134,13.12241214566302,1987,6.0903610714063765,3.0,46322.0,4,204900
61,0.4132,130700,Massillon,9,,81,52252,44646,32.67354421726431,16.978435150083897,43.1,6.392211044428134,13.12241214566302,1998,6.0903610714063765,4.0,46322.0,4,150800
63,0.3343,130700,Massillon,9,,81,52252,44646,32.67354421726431,16.978435150083897,43.1,6.392211044428134,13.12241214566302,2014,6.0903610714063765,3.0,46322.0,4,460000
67,0.4775,130700,Massillon,9,,81,52252,44646,32.67354421726431,16.978435150083897,43.1,6.392211044428134,13.12241214566302,1975,6.0903610714063765,3.0,46322.0,3,183000
75,0.314,169000,Brunswick,8,,64,69434,44212,31.471717763457658,18.258152704549893,40.1,1.484175570967086,7.366928575648372,2016,6.701165137017509,3.0,44267.0,4,344900
78,0.6043,169000,Brunswick,8,,64,69434,44212,31.471717763457658,18.258152704549893,40.1,1.484175570967086,7.366928575648372,1956,6.701165137017509,1.0,44267.0,2,86000
79,0.2951,169000,Brunswick,8,,64,69434,44212,31.471717763457658,18.258152704549893,40.1,1.484175570967086,7.366928575648372,1992,6.701165137017509,3.0,44267.0,4,260000
80,0.2927,169000,Brunswick,8,,64,69434,44212,31.471717763457658,18.258152704549893,40.1,1.484175570967086,7.366928575648372,1970,6.701165137017509,3.0,44267.0,4,208000
81,0.5015,169000,Brunswick,8,,64,69434,44212,31.471717763457658,18.258152704549893,40.1,1.484175570967086,7.366928575648372,1958,6.701165137017509,1.0,44267.0,3,63000
82,0.33,169000,Brunswick,8,,64,69434,44212,31.471717763457658,18.258152704549893,40.1,1.484175570967086,7.366928575648372,1999,6.701165137017509,2.0,44267.0,2,233000
83,0.2755,169000,Brunswick,8,,64,69434,44212,31.471717763457658,18.258152704549893,40.1,1.484175570967086,7.366928575648372,1974,6.701165137017509,2.0,44267.0,4,167000
84,0.58,157700,Rootstown,7,,49,61577,44272,38.27937649880096,15.167865707434053,39.3,1.63372327551432,8.12664907651715,1973,5.845323741007194,2.0,4958.0,4,169900
86,0.2451,157700,Rootstown,7,,49,61577,44272,38.27937649880096,15.167865707434053,39.3,1.63372327551432,8.12664907651715,1967,5.845323741007194,2.0,4958.0,2,100000
88,0.31,157700,Rootstown,7,,49,61577,44272,38.27937649880096,15.167865707434053,39.3,1.63372327551432,8.12664907651715,2002,5.845323741007194,3.0,4958.0,4,206500
92,0.5739,104800,Norton,8,,64,47797,44203,37.81332965555288,12.777988483949937,41.9,5.6418762348464515,16.215561610656977,1932,3.8133986139364895,1.0,40997.0,2,142000
93,0.1377,104800,Barberton,8,,64,47797,44203,37.81332965555288,12.777988483949937,41.9,5.6418762348464515,16.215561610656977,1918,3.8133986139364895,1.0,40997.0,2,79900
94,0.0803,104800,Barberton,8,,64,47797,44203,37.81332965555288,12.777988483949937,41.9,5.6418762348464515,16.215561610656977,1889,3.8133986139364895,2.0,40997.0,3,72000
95,0.66,104800,Norton,8,,64,47797,44203,37.81332965555288,12.777988483949937,41.9,5.6418762348464515,16.215561610656977,1953,3.8133986139364895,1.0,40997.0,2,150500
96,0.1971,104800,Barberton,8,,64,47797,44203,37.81332965555288,12.777988483949937,41.9,5.6418762348464515,16.215561610656977,1943,3.8133986139364895,2.0,40997.0,3,114000
97,0.2792,104800,Norton,8,,64,47797,44203,37.81332965555288,12.777988483949937,41.9,5.6418762348464515,16.215561610656977,1972,3.8133986139364895,3.0,40997.0,4,179900
98,0.124,104800,Barberton,8,,64,47797,44203,37.81332965555288,12.777988483949937,41.9,5.6418762348464515,16.215561610656977,1948,3.8133986139364895,1.0,40997.0,2,125000
100,0.1377,104800,Barberton,8,,64,47797,44203,37.81332965555288,12.777988483949937,41.9,5.6418762348464515,16.215561610656977,1918,3.8133986139364895,1.0,40997.0,2,41898
101,0.2913,104800,Norton,8,,64,47797,44203,37.81332965555288,12.777988483949937,41.9,5.6418762348464515,16.215561610656977,1968,3.8133986139364895,2.0,40997.0,4,171500
102,0.4591,104800,Barberton,8,,64,47797,44203,37.81332965555288,12.777988483949937,41.9,5.6418762348464515,16.215561610656977,1991,3.8133986139364895,3.0,40997.0,3,237000
103,0.2755,104800,Barberton,8,,64,47797,44203,37.81332965555288,12.777988483949937,41.9,5.6418762348464515,16.215561610656977,1955,3.8133986139364895,1.0,40997.0,3,121500
104,0.7277,104800,Norton,8,,64,47797,44203,37.81332965555288,12.777988483949937,41.9,5.6418762348464515,16.215561610656977,1963,3.8133986139364895,2.0,40997.0,3,78750
107,0.3271,104800,Barberton,8,,64,47797,44203,37.81332965555288,12.777988483949937,41.9,5.6418762348464515,16.215561610656977,1999,3.8133986139364895,3.0,40997.0,3,100000
108,0.1102,104800,Barberton,8,,64,47797,44203,37.81332965555288,12.777988483949937,41.9,5.6418762348464515,16.215561610656977,1921,3.8133986139364895,1.0,40997.0,4,77100
109,0.4362,104800,Norton,8,,64,47797,44203,37.81332965555288,12.777988483949937,41.9,5.6418762348464515,16.215561610656977,1961,3.8133986139364895,2.0,40997.0,3,52000
110,0.2005,104800,Barberton,8,,64,47797,44203,37.81332965555288,12.777988483949937,41.9,5.6418762348464515,16.215561610656977,1939,3.8133986139364895,1.0,40997.0,2,89000
111,0.1377,104800,Barberton,8,,64,47797,44203,37.81332965555288,12.777988483949937,41.9,5.6418762348464515,16.215561610656977,1930,3.8133986139364895,2.0,40997.0,3,70500
112,0.1093,104800,Barberton,8,,64,47797,44203,37.81332965555288,12.777988483949937,41.9,5.6418762348464515,16.215561610656977,2004,3.8133986139364895,2.0,40997.0,3,145000
113,0.6653,104800,Norton,8,,64,47797,44203,37.81332965555288,12.777988483949937,41.9,5.6418762348464515,16.215561610656977,1954,3.8133986139364895,1.0,40997.0,3,50000
115,0.3264,104800,Barberton,8,,64,47797,44203,37.81332965555288,12.777988483949937,41.9,5.6418762348464515,16.215561610656977,1909,3.8133986139364895,1.0,40997.0,2,54000
116,0.1607,104800,Barberton,8,,64,47797,44203,37.81332965555288,12.777988483949937,41.9,5.6418762348464515,16.215561610656977,1939,3.8133986139364895,1.0,40997.0,4,42100
117,0.0692,104800,Barberton,8,,64,47797,44203,37.81332965555288,12.777988483949937,41.9,5.6418762348464515,16.215561610656977,1920,3.8133986139364895,1.0,40997.0,3,66000
118,0.1377,104800,Barberton,8,,64,47797,44203,37.81332965555288,12.777988483949937,41.9,5.6418762348464515,16.215561610656977,1933,3.8133986139364895,2.0,40997.0,3,122900
119,0.8192,104800,Barberton,8,,64,47797,44203,37.81332965555288,12.777988483949937,41.9,5.6418762348464515,16.215561610656977,1948,3.8133986139364895,2.0,40997.0,5,50000
120,0.1157,104800,Barberton,8,,64,47797,44203,37.81332965555288,12.777988483949937,41.9,5.6418762348464515,16.215561610656977,1928,3.8133986139364895,1.0,40997.0,3,73755
121,0.124,104800,Barberton,8,,64,47797,44203,37.81332965555288,12.777988483949937,41.9,5.6418762348464515,16.215561610656977,1927,3.8133986139364895,1.0,40997.0,3,109900
122,0.124,104800,Norton,8,,64,47797,44203,37.81332965555288,12.777988483949937,41.9,5.6418762348464515,16.215561610656977,1957,3.8133986139364895,1.0,40997.0,2,46100
123,0.0964,104800,Barberton,8,,64,47797,44203,37.81332965555288,12.777988483949937,41.9,5.6418762348464515,16.215561610656977,1901,3.8133986139364895,2.0,40997.0,3,67000
124,0.1157,104800,Barberton,8,,64,47797,44203,37.81332965555288,12.777988483949937,41.9,5.6418762348464515,16.215561610656977,2004,3.8133986139364895,3.0,40997.0,3,110000
125,0.168,104800,Barberton,8,,64,47797,44203,37.81332965555288,12.777988483949937,41.9,5.6418762348464515,16.215561610656977,1917,3.8133986139364895,1.0,40997.0,2,25000
126,0.929,104800,Barberton,8,,64,47797,44203,37.81332965555288,12.777988483949937,41.9,5.6418762348464515,16.215561610656977,1938,3.8133986139364895,1.0,40997.0,3,61900
127,0.1192,104800,Barberton,8,,64,47797,44203,37.81332965555288,12.777988483949937,41.9,5.6418762348464515,16.215561610656977,2000,3.8133986139364895,1.0,40997.0,3,62000
128,0.6123,104800,Norton,8,,64,47797,44203,37.81332965555288,12.777988483949937,41.9,5.6418762348464515,16.215561610656977,1957,3.8133986139364895,3.0,40997.0,3,231800
129,0.1212,104800,Barberton,8,,64,47797,44203,37.81332965555288,12.777988483949937,41.9,5.6418762348464515,16.215561610656977,1926,3.8133986139364895,2.0,40997.0,3,25000
130,0.7151,160600,Tallmadge,8,,64,63915,44278,30.350225314254093,21.424618546920705,45.5,5.336167356527575,11.296426068675542,1943,7.573721242785991,1.0,17878.0,3,75000
132,0.2824,160600,Tallmadge,8,,64,63915,44278,30.350225314254093,21.424618546920705,45.5,5.336167356527575,11.296426068675542,1965,7.573721242785991,3.0,17878.0,4,179900
134,0.1804,160600,Tallmadge,8,,64,63915,44278,30.350225314254093,21.424618546920705,45.5,5.336167356527575,11.296426068675542,1949,7.573721242785991,1.0,17878.0,2,30500
135,0.3444,160600,Tallmadge,8,,64,63915,44278,30.350225314254093,21.424618546920705,45.5,5.336167356527575,11.296426068675542,1972,7.573721242785991,2.0,17878.0,4,193000
136,0.4224,160600,Tallmadge,8,,64,63915,44278,30.350225314254093,21.424618546920705,45.5,5.336167356527575,11.296426068675542,1959,7.573721242785991,1.0,17878.0,2,129900
137,0.2261,160600,Tallmadge,8,,64,63915,44278,30.350225314254093,21.424618546920705,45.5,5.336167356527575,11.296426068675542,2017,7.573721242785991,2.0,17878.0,3,239900
138,0.1623,160600,Tallmadge,8,,64,63915,44278,30.350225314254093,21.424618546920705,45.5,5.336167356527575,11.296426068675542,2017,7.573721242785991,3.0,17878.0,3,228000
139,0.5755,160600,Tallmadge,8,,64,63915,44278,30.350225314254093,21.424618546920705,45.5,5.336167356527575,11.296426068675542,1981,7.573721242785991,3.0,17878.0,4,223500
140,0.4362,160600,Tallmadge,8,,64,63915,44278,30.350225314254093,21.424618546920705,45.5,5.336167356527575,11.296426068675542,1962,7.573721242785991,2.0,17878.0,4,134500
141,0.4694,160600,Tallmadge,8,,64,63915,44278,30.350225314254093,21.424618546920705,45.5,5.336167356527575,11.296426068675542,1995,7.573721242785991,3.0,17878.0,3,187375
142,0.8526,160600,Tallmadge,8,,64,63915,44278,30.350225314254093,21.424618546920705,45.5,5.336167356527575,11.296426068675542,1940,7.573721242785991,2.0,17878.0,4,125000
143,0.6411,160600,Tallmadge,8,,64,63915,44278,30.350225314254093,21.424618546920705,45.5,5.336167356527575,11.296426068675542,1956,7.573721242785991,1.0,17878.0,3,159900
144,0.1822,160600,Tallmadge,8,,64,63915,44278,30.350225314254093,21.424618546920705,45.5,5.336167356527575,11.296426068675542,2017,7.573721242785991,2.0,17878.0,2,60000
145,0.4591,160600,Tallmadge,8,,64,63915,44278,30.350225314254093,21.424618546920705,45.5,5.336167356527575,11.296426068675542,1972,7.573721242785991,2.0,17878.0,3,165000
146,0.395,160600,Tallmadge,8,,64,63915,44278,30.350225314254093,21.424618546920705,45.5,5.336167356527575,11.296426068675542,1993,7.573721242785991,3.0,17878.0,4,198500
147,0.138,160600,Tallmadge,8,,64,63915,44278,30.350225314254093,21.424618546920705,45.5,5.336167356527575,11.296426068675542,2004,7.573721242785991,2.0,17878.0,2,45880
148,0.932,160600,Tallmadge,8,,64,63915,44278,30.350225314254093,21.424618546920705,45.5,5.336167356527575,11.296426068675542,1960,7.573721242785991,2.0,17878.0,2,151500
160,0.1642,72300,Akron,4,,16,36992,44305,34.86184210526316,10.381578947368421,37.0,19.6183476489861,25.78191039729501,1949,2.7763157894736845,1.0,22586.0,3,65900
161,0.1573,72300,Akron,4,,16,36992,44305,34.86184210526316,10.381578947368421,37.0,19.6183476489861,25.78191039729501,1928,2.7763157894736845,1.0,22586.0,4,46000
162,0.245,72300,Akron,4,,16,36992,44305,34.86184210526316,10.381578947368421,37.0,19.6183476489861,25.78191039729501,1919,2.7763157894736845,2.0,22586.0,5,7000
163,0.2583,72300,Akron,4,,16,36992,44305,34.86184210526316,10.381578947368421,37.0,19.6183476489861,25.78191039729501,1942,2.7763157894736845,1.0,22586.0,3,69000
164,0.183,72300,Akron,4,,16,36992,44305,34.86184210526316,10.381578947368421,37.0,19.6183476489861,25.78191039729501,1919,2.7763157894736845,2.0,22586.0,2,79900
165,0.2167,72300,Akron,4,,16,36992,44305,34.86184210526316,10.381578947368421,37.0,19.6183476489861,25.78191039729501,1979,2.7763157894736845,2.0,22586.0,3,113000
166,0.1871,72300,Akron,4,,16,36992,44305,34.86184210526316,10.381578947368421,37.0,19.6183476489861,25.78191039729501,1919,2.7763157894736845,2.0,22586.0,2,68000
167,0.1715,72300,Akron,4,,16,36992,44305,34.86184210526316,10.381578947368421,37.0,19.6183476489861,25.78191039729501,1959,2.7763157894736845,1.0,22586.0,3,70400
168,0.0964,72300,Akron,4,,16,36992,44305,34.86184210526316,10.381578947368421,37.0,19.6183476489861,25.78191039729501,1916,2.7763157894736845,1.0,22586.0,3,9000
169,0.1598,72300,Akron,4,,16,36992,44305,34.86184210526316,10.381578947368421,37.0,19.6183476489861,25.78191039729501,1925,2.7763157894736845,1.0,22586.0,2,78000
170,0.0735,72300,Akron,4,,16,36992,44305,34.86184210526316,10.381578947368421,37.0,19.6183476489861,25.78191039729501,1929,2.7763157894736845,1.0,22586.0,3,18500
171,0.1212,72300,Akron,4,,16,36992,44305,34.86184210526316,10.381578947368421,37.0,19.6183476489861,25.78191039729501,1955,2.7763157894736845,1.0,22586.0,3,50000
173,0.5014,72300,Akron,4,,16,36992,44305,34.86184210526316,10.381578947368421,37.0,19.6183476489861,25.78191039729501,1984,2.7763157894736845,2.0,22586.0,2,73000
174,0.42700000000000005,72300,Akron,4,,16,36992,44305,34.86184210526316,10.381578947368421,37.0,19.6183476489861,25.78191039729501,2000,2.7763157894736845,3.0,22586.0,3,186500
175,0.1212,72300,Akron,4,,16,36992,44305,34.86184210526316,10.381578947368421,37.0,19.6183476489861,25.78191039729501,1924,2.7763157894736845,1.0,22586.0,2,71000
176,0.0826,72300,Akron,4,,16,36992,44305,34.86184210526316,10.381578947368421,37.0,19.6183476489861,25.78191039729501,1920,2.7763157894736845,1.0,22586.0,5,12500
177,0.1791,72300,Akron,4,,16,36992,44305,34.86184210526316,10.381578947368421,37.0,19.6183476489861,25.78191039729501,1967,2.7763157894736845,2.0,22586.0,3,124900
178,0.1056,72300,Akron,4,,16,36992,44305,34.86184210526316,10.381578947368421,37.0,19.6183476489861,25.78191039729501,1918,2.7763157894736845,1.0,22586.0,3,38000
179,0.3114,72300,Akron,4,,16,36992,44305,34.86184210526316,10.381578947368421,37.0,19.6183476489861,25.78191039729501,1952,2.7763157894736845,1.0,22586.0,2,54900
180,0.1074,72300,Akron,4,,16,36992,44305,34.86184210526316,10.381578947368421,37.0,19.6183476489861,25.78191039729501,1929,2.7763157894736845,1.0,22586.0,3,64900
181,0.1515,72300,Akron,4,,16,36992,44305,34.86184210526316,10.381578947368421,37.0,19.6183476489861,25.78191039729501,1947,2.7763157894736845,1.0,22586.0,2,50000
182,0.2755,72300,Akron,4,,16,36992,44305,34.86184210526316,10.381578947368421,37.0,19.6183476489861,25.78191039729501,1996,2.7763157894736845,2.0,22586.0,3,75000
183,0.146,72300,Akron,4,,16,36992,44305,34.86184210526316,10.381578947368421,37.0,19.6183476489861,25.78191039729501,1920,2.7763157894736845,1.0,22586.0,3,70100
184,0.1263,72300,Akron,4,,16,36992,44305,34.86184210526316,10.381578947368421,37.0,19.6183476489861,25.78191039729501,1941,2.7763157894736845,1.0,22586.0,2,15000
185,0.1423,72300,Akron,4,,16,36992,44305,34.86184210526316,10.381578947368421,37.0,19.6183476489861,25.78191039729501,1920,2.7763157894736845,1.0,22586.0,3,18000
186,0.1694,72300,Akron,4,,16,36992,44305,34.86184210526316,10.381578947368421,37.0,19.6183476489861,25.78191039729501,1952,2.7763157894736845,1.0,22586.0,2,45500
187,0.1148,72300,Akron,4,,16,36992,44305,34.86184210526316,10.381578947368421,37.0,19.6183476489861,25.78191039729501,1943,2.7763157894736845,1.0,22586.0,2,61500
188,0.1377,72300,Akron,4,,16,36992,44305,34.86184210526316,10.381578947368421,37.0,19.6183476489861,25.78191039729501,1956,2.7763157894736845,1.0,22586.0,3,115000
189,0.1033,72300,Akron,4,,16,36992,44305,34.86184210526316,10.381578947368421,37.0,19.6183476489861,25.78191039729501,1926,2.7763157894736845,1.0,22586.0,2,22000
190,0.1635,72300,Akron,4,,16,36992,44305,34.86184210526316,10.381578947368421,37.0,19.6183476489861,25.78191039729501,1914,2.7763157894736845,1.0,22586.0,3,42250
191,0.1149,61800,Akron,4,,16,28809,44306,34.07846715328467,6.356447688564478,33.3,42.23449969306323,40.63407010493414,1917,2.2125912408759123,2.0,21177.0,4,37500
192,0.1126,61800,Akron,4,,16,28809,44306,34.07846715328467,6.356447688564478,33.3,42.23449969306323,40.63407010493414,1944,2.2125912408759123,1.0,21177.0,2,60000
193,0.0891,61800,Akron,4,,16,28809,44306,34.07846715328467,6.356447688564478,33.3,42.23449969306323,40.63407010493414,1924,2.2125912408759123,1.0,21177.0,2,12000
194,0.0918,61800,Akron,4,,16,28809,44306,34.07846715328467,6.356447688564478,33.3,42.23449969306323,40.63407010493414,1925,2.2125912408759123,1.0,21177.0,2,10000
195,0.1212,61800,Akron,4,,16,28809,44306,34.07846715328467,6.356447688564478,33.3,42.23449969306323,40.63407010493414,1927,2.2125912408759123,1.0,21177.0,3,27000
196,0.0514,61800,Akron,4,,16,28809,44306,34.07846715328467,6.356447688564478,33.3,42.23449969306323,40.63407010493414,1917,2.2125912408759123,1.0,21177.0,2,30750
197,0.0964,61800,Akron,4,,16,28809,44306,34.07846715328467,6.356447688564478,33.3,42.23449969306323,40.63407010493414,1913,2.2125912408759123,1.0,21177.0,4,13500
198,0.9506,61800,Akron,4,,16,28809,44306,34.07846715328467,6.356447688564478,33.3,42.23449969306323,40.63407010493414,2000,2.2125912408759123,2.0,21177.0,3,127500
199,0.0955,61800,Akron,4,,16,28809,44306,34.07846715328467,6.356447688564478,33.3,42.23449969306323,40.63407010493414,1928,2.2125912408759123,1.0,21177.0,2,18900
200,0.932,61800,Akron,4,,16,28809,44306,34.07846715328467,6.356447688564478,33.3,42.23449969306323,40.63407010493414,1950,2.2125912408759123,1.0,21177.0,3,132000
201,0.1281,61800,Akron,4,,16,28809,44306,34.07846715328467,6.356447688564478,33.3,42.23449969306323,40.63407010493414,1957,2.2125912408759123,1.0,21177.0,2,55000
202,0.0937,61800,Akron,4,,16,28809,44306,34.07846715328467,6.356447688564478,33.3,42.23449969306323,40.63407010493414,1914,2.2125912408759123,1.0,21177.0,3,22600
203,0.1084,61800,Akron,4,,16,28809,44306,34.07846715328467,6.356447688564478,33.3,42.23449969306323,40.63407010493414,1927,2.2125912408759123,1.0,21177.0,2,41500
204,0.1028,61800,Akron,4,,16,28809,44306,34.07846715328467,6.356447688564478,33.3,42.23449969306323,40.63407010493414,1951,2.2125912408759123,1.0,21177.0,4,88960
205,0.48,61800,Akron,4,,16,28809,44306,34.07846715328467,6.356447688564478,33.3,42.23449969306323,40.63407010493414,1953,2.2125912408759123,1.0,21177.0,1,57000
206,0.1313,61800,Akron,4,,16,28809,44306,34.07846715328467,6.356447688564478,33.3,42.23449969306323,40.63407010493414,1942,2.2125912408759123,2.0,21177.0,3,75000
207,0.0854,61800,Akron,4,,16,28809,44306,34.07846715328467,6.356447688564478,33.3,42.23449969306323,40.63407010493414,1925,2.2125912408759123,1.0,21177.0,3,47920
208,0.1171,61800,Akron,4,,16,28809,44306,34.07846715328467,6.356447688564478,33.3,42.23449969306323,40.63407010493414,1943,2.2125912408759123,1.0,21177.0,2,33000
209,0.124,61800,Akron,4,,16,28809,44306,34.07846715328467,6.356447688564478,33.3,42.23449969306323,40.63407010493414,1942,2.2125912408759123,2.0,21177.0,3,80500
210,0.8375,61800,Akron,4,,16,28809,44306,34.07846715328467,6.356447688564478,33.3,42.23449969306323,40.63407010493414,1931,2.2125912408759123,2.0,21177.0,4,127500
211,0.0918,61800,Akron,4,,16,28809,44306,34.07846715328467,6.356447688564478,33.3,42.23449969306323,40.63407010493414,1920,2.2125912408759123,1.0,21177.0,4,33500
212,0.1084,61800,Akron,4,,16,28809,44306,34.07846715328467,6.356447688564478,33.3,42.23449969306323,40.63407010493414,2005,2.2125912408759123,2.0,21177.0,3,15000
213,0.0689,61800,Akron,4,,16,28809,44306,34.07846715328467,6.356447688564478,33.3,42.23449969306323,40.63407010493414,1914,2.2125912408759123,1.0,21177.0,3,23860
214,0.1435,61800,Akron,4,,16,28809,44306,34.07846715328467,6.356447688564478,33.3,42.23449969306323,40.63407010493414,1918,2.2125912408759123,1.0,21177.0,2,21000
215,0.1591,61800,Akron,4,,16,28809,44306,34.07846715328467,6.356447688564478,33.3,42.23449969306323,40.63407010493414,1956,2.2125912408759123,2.0,21177.0,2,62000
216,0.1148,61800,Akron,4,,16,28809,44306,34.07846715328467,6.356447688564478,33.3,42.23449969306323,40.63407010493414,1943,2.2125912408759123,1.0,21177.0,3,35000
217,0.2482,68400,Akron,4,,16,34277,44310,32.98447383553766,9.994249568717654,36.8,21.277880666720346,32.72856274072573,1949,3.076480736055204,1.0,24838.0,3,48000
218,0.1086,68400,Akron,4,,16,34277,44310,32.98447383553766,9.994249568717654,36.8,21.277880666720346,32.72856274072573,1954,3.076480736055204,1.0,24838.0,3,105000
219,0.1185,68400,Akron,4,,16,34277,44310,32.98447383553766,9.994249568717654,36.8,21.277880666720346,32.72856274072573,1952,3.076480736055204,1.0,24838.0,3,100000
220,0.1699,68400,Akron,4,,16,34277,44310,32.98447383553766,9.994249568717654,36.8,21.277880666720346,32.72856274072573,1962,3.076480736055204,2.0,24838.0,3,100100
221,0.1435,68400,Akron,4,,16,34277,44310,32.98447383553766,9.994249568717654,36.8,21.277880666720346,32.72856274072573,1904,3.076480736055204,1.0,24838.0,3,135000
